datetime,open,high,low,close,volume
2025-08-27 12:20:00,23567.35,23567.6,23562.17,23562.17,291
2025-08-27 12:25:00,23562.18,23562.18,23544.54,23547.58,427
2025-08-27 12:30:00,23547.36,23549.54,23527.37,23527.76,832
2025-08-27 12:35:00,23527.59,23532.3,23524.34,23529.21,768
2025-08-27 12:40:00,23529.06,23529.1,23515.54,23518.31,891
2025-08-27 12:45:00,23518.51,23530.62,23518.51,23528.59,721
2025-08-27 12:50:00,23528.37,23531.03,23523.88,23529.84,573
2025-08-27 12:55:00,23529.87,23535.86,23527.35,23533.63,473
2025-08-27 13:00:00,23533.53,23537.28,23520.1,23521.03,709
2025-08-27 13:05:00,23520.86,23524.87,23503.35,23512.11,1284
2025-08-27 13:10:00,23512.44,23525.04,23511.59,23517.09,859
2025-08-27 13:15:00,23516.9,23519.03,23504.54,23508.59,793
2025-08-27 13:20:00,23508.52,23510.29,23500.14,23506.62,674
2025-08-27 13:25:00,23506.4,23511.0,23486.17,23492.32,1550
2025-08-27 13:30:00,23492.09,23509.38,23474.49,23503.44,8925
2025-08-27 13:35:00,23503.64,23514.87,23486.17,23503.47,5978
2025-08-27 13:40:00,23503.21,23504.65,23465.22,23476.43,5537
2025-08-27 13:45:00,23476.2,23482.38,23441.43,23452.23,6471
2025-08-27 13:50:00,23451.97,23493.89,23451.73,23491.96,5216
2025-08-27 13:55:00,23491.75,23493.71,23468.22,23487.5,4304
2025-08-27 14:00:00,23487.39,23500.1,23479.0,23488.38,4308
2025-08-27 14:05:00,23488.19,23511.47,23482.19,23511.47,2671
2025-08-27 14:10:00,23511.21,23519.14,23497.03,23518.64,2062
2025-08-27 14:15:00,23518.46,23553.6,23517.89,23551.19,1947
2025-08-27 14:20:00,23551.52,23556.43,23541.17,23548.93,2005
2025-08-27 14:25:00,23548.97,23558.63,23545.72,23550.6,1692
2025-08-27 14:30:00,23550.45,23561.44,23548.23,23554.22,1673
2025-08-27 14:35:00,23554.41,23564.47,23550.13,23563.97,1500
2025-08-27 14:40:00,23564.14,23567.86,23550.89,23554.63,1487
2025-08-27 14:45:00,23554.46,23556.59,23536.43,23550.96,1883
2025-08-27 14:50:00,23550.75,23558.21,23543.72,23553.92,1401
2025-08-27 14:55:00,23553.96,23562.15,23549.66,23552.69,1217
2025-08-27 15:00:00,23552.89,23561.21,23543.76,23544.65,1371
2025-08-27 15:05:00,23544.45,23553.57,23541.75,23549.18,1345
2025-08-27 15:10:00,23548.96,23556.67,23542.03,23550.22,1086
2025-08-27 15:15:00,23550.39,23554.87,23545.5,23547.17,828
2025-08-27 15:20:00,23547.22,23560.93,23546.94,23556.21,762
2025-08-27 15:25:00,23556.14,23556.14,23540.03,23542.21,947
2025-08-27 15:30:00,23541.96,23548.9,23533.21,23545.89,1026
