date,session_date,setup_detected,direction,poi_type,sweep_level,pattern_candle_a,pattern_candle_b,entry_price,stop_loss,take_profit,sl_distance,tp_distance,trader_agrees,actual_result,hypothetical_pnl,notes
2026-05-04T15:27:27.343488,2024-11-27,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.368088,2024-11-28,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.387424,2024-11-29,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.402105,2024-12-01,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.424002,2024-12-02,True,SHORT,BEARISH,44911.2,,,44876.9,44936.9,44756.9,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:27:27.446744,2024-12-03,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.478124,2024-12-04,True,LONG,BULLISH,44893.1,,,45018.3,44939.1,45176.7,79.2,158.4,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:27:27.499417,2024-12-05,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.522290,2024-12-06,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.536894,2024-12-08,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.559428,2024-12-09,True,LONG,BULLISH,44589.6,,,44621.2,44561.2,44741.2,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:27:27.581406,2024-12-10,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.604219,2024-12-11,True,SHORT,BEARISH,44402.2,,,44368.4,44428.4,44248.4,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:27:27.626535,2024-12-12,True,LONG,BULLISH,44112.1,,,44154.0,44075.9,44310.2,78.1,156.2,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:27:27.648962,2024-12-13,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.664338,2024-12-15,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.686086,2024-12-16,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.710954,2024-12-17,True,LONG,BULLISH,43603.0,,,43601.9,43541.9,43721.9,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:27:27.735737,2024-12-18,True,LONG,BULLISH,43716.2,,,43769.3,43702.4,43903.1,66.9,133.8,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:27:27.758054,2024-12-19,True,LONG,BULLISH,42546.1,,,42657.4,42573.1,42826.0,84.3,168.6,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:27:27.780668,2024-12-20,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.796442,2024-12-22,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.818417,2024-12-23,True,SHORT,BEARISH,42916.5,,,42897.5,42957.5,42777.5,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:27:27.839366,2024-12-24,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.854366,2024-12-25,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.876235,2024-12-26,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.900100,2024-12-27,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.915894,2024-12-29,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.937076,2024-12-30,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.959894,2024-12-31,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.975591,2025-01-01,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:27.997241,2025-01-02,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.020710,2025-01-03,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.036023,2025-01-05,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.060398,2025-01-06,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:27:28.083232,2025-01-07,True,LONG,BULLISH,42644.9,,,42741.9,42671.1,42883.5,70.8,141.6,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:27:28.107118,2025-01-08,False,,,,,,,,,,,,,,No valid signal from strategy
